mandat_id,mandature_id,personne_id,nom,prenom,role,from_date,to_date,source_personne,source
,gouv_dupuy_2,,Barthou,Louis,Ministre des Travaux publics,,,,https://fr.wikipedia.org/wiki/Gouvernement_Charles_Dupuy_(2)
,gouv_dupuy_3,,Barthou,Louis,Ministre des Travaux publics,,,,https://fr.wikipedia.org/wiki/Gouvernement_Charles_Dupuy_(3)
,gouv_méline,,Barthou,Louis,Ministre de l’Intérieur,,,,https://fr.wikipedia.org/wiki/Gouvernement_Jules_Méline
,gouv_painleve_1,,Barthou,Louis,"Ministre d'État, membre du comité de Guerre",,,,https://fr.wikipedia.org/wiki/Gouvernement_Paul_Painlevé_(1)
,gouv_painleve_1,,Barthou,Louis,Ministre des Affaires étrangères	,,,,https://fr.wikipedia.org/wiki/Gouvernement_Paul_Painlevé_(1)
,gouv_poincare_2,,Barthou,Louis,Ministre de la Justice,,,,https://fr.wikipedia.org/wiki/Gouvernement_Raymond_Poincaré_(2)
,gouv_poincare_4,,Barthou,Louis,Ministre de la Justice,,,,https://fr.wikipedia.org/wiki/Gouvernement_Raymond_Poincaré_(4)
,gouv_poincare_5,,Barthou,Louis,Ministre de la Justice,,,,https://fr.wikipedia.org/wiki/Gouvernement_Raymond_Poincaré_(5)
,gouv_sarrien,,Barthou,Louis,"Ministre des Travaux publics, des Postes et Télégraphes",,,,https://fr.wikipedia.org/wiki/Gouvernement_Ferdinand_Sarrien
,gouv_steeg,,Barthou,Louis,Ministre de la Guerre,,,,https://fr.wikipedia.org/wiki/Gouvernement_Théodore_Steeg
,gouv_blum_1,,Bastid,Paul,Ministre du Commerce,,,,https://fr.wikipedia.org/wiki/Gouvernement_Léon_Blum_(1)
,gouv_barthou,,Baudin,Pierre,Ministre de la Marine,,,,https://fr.wikipedia.org/wiki/Gouvernement_Louis_Barthou
,gouv_briand_3,,Baudin,Pierre,Ministre de la Marine,,,,https://fr.wikipedia.org/wiki/Gouvernement_Aristide_Briand_(3)
,gouv_briand_4,,Baudin,Pierre,Ministre de la Marine,,,,https://fr.wikipedia.org/wiki/Gouvernement_Aristide_Briand_(4)
,gouv_waldeck_rousseau,,Baudin,Pierre,Ministre des Travaux publics,,,,https://fr.wikipedia.org/wiki/Gouvernement_Pierre_Waldeck-Rousseau
,gouv_petain,,Baudouin,Paul,Ministre des Affaires étrangères,,,,https://fr.wikipedia.org/wiki/Gouvernement_Philippe_Pétain
,gouv_reynaud,,Baudouin,Paul,Sous-secrétaire d’État à la Présidence du Conseil,,,,https://fr.wikipedia.org/wiki/Gouvernement_Paul_Reynaud
,gouv_reynaud,,Baudouin,Paul,Sous-secrétaire d’État chargé des Affaires étrangères,,,,https://fr.wikipedia.org/wiki/Gouvernement_Paul_Reynaud
,gouv_herriot_2,,Bazile,Gaston,Sous-secrétaire d’État à l'Enseignement technique,,,,https://fr.wikipedia.org/wiki/Gouvernement_Édouard_Herriot_(2)
,gouv_sarraut_2,,Beauguitte,André,Sous-secrétaire d’État à l’Intérieur,,,,https://fr.wikipedia.org/wiki/Gouvernement_Albert_Sarraut_(2)
,gouv_blum_1,,Bedouce,Albert,Ministre des Travaux publics,,,,https://fr.wikipedia.org/wiki/Gouvernement_Léon_Blum_(1)
,gouv_chautemps_1,,Bellanger,Robert,Sous-secrétaire d’État à la Marine,,,,https://fr.wikipedia.org/wiki/Gouvernement_Camille_Chautemps_(1)
,gouv_briand_8,,Bénazet,Paul,Haut-Commissaire à la Guerre,,,,https://fr.wikipedia.org/wiki/Gouvernement_Aristide_Briand_(8)
,gouv_briand_8,,Bénazet,Paul,"Sous-secrétaire d’État à l’Instruction publique et aux Beaux-Arts, chargé de l'Enseignement technique",,,,https://fr.wikipedia.org/wiki/Gouvernement_Aristide_Briand_(8)
,gouv_briand_9,,Bénazet,Paul,Haut-Commissaire à la Guerre,,,,https://fr.wikipedia.org/wiki/Gouvernement_Aristide_Briand_(9)
,gouv_briand_9,,Bénazet,Paul,"Sous-secrétaire d’État à l’Instruction publique et aux Beaux-Arts, chargé de l'Enseignement technique",,,,https://fr.wikipedia.org/wiki/Gouvernement_Aristide_Briand_(9)
,gouv_herriot_1,,Bénazet,Paul,Commissaire général à la Guerre,,,,https://fr.wikipedia.org/wiki/Gouvernement_Édouard_Herriot_(1)
,gouv_painleve_2,,Bénazet,Paul,Commissaire général à la Guerre,,,,https://fr.wikipedia.org/wiki/Gouvernement_Paul_Painlevé_(2)
,gouv_painleve_2,,Bénazet,Paul,Sous-secrétaire d'État à l'Enseignement technique et aux Beaux-Arts,,,,https://fr.wikipedia.org/wiki/Gouvernement_Paul_Painlevé_(2)
,gouv_painleve_3,,Bénazet,Paul,Haut-Commissaire à la Guerre,,,,https://fr.wikipedia.org/wiki/Gouvernement_Paul_Painlevé_(3)
